date,station_id,AWND,TAVG,TMAX,TMIN,WESF
20200103,USW00014748,3,,72,-10,
20200103,USW00014750,10,32,61,-5,
20200103,USW00014757,5,,83,22,
20200103,USW00014768,26,67,83,44,
20200103,USW00014771,29,82,100,56,
20200103,USW00054757,21,,72,44,
20200103,USW00054773,23,,89,44,
20200103,USW00054778,11,,89,39,
20200103,USW00054780,22,,94,67,
20200103,USW00054787,20,,89,56,
20200103,USW00054790,20,,83,67,
20200103,USW00064756,,,78,36,
20200103,USW00064758,,,70,10,
20200103,USW00064775,13,,89,33,
20200103,USW00064776,21,,44,22,
20200103,USW00094704,13,,94,28,
20200103,USW00094725,36,,67,33,
20200103,USW00094728,15,,94,67,
20200103,USW00094740,21,,39,11,
20200103,USW00094745,10,,72,50,
20200103,USW00094789,29,67,89,56,
20200103,USW00094790,34,,83,39,
20200104,US1NYCB0016,,,,,0
20200104,US1NYCN0009,,,,,0
20200104,US1NYCQ0039,,,,,0
20200104,US1NYCR0005,,,,,0
20200104,US1NYCY0002,,,,,0
20200104,US1NYDL0023,,,,,0
20200104,US1NYDL0032,,,,,0
20200104,US1NYDT0010,,,,,0
20200104,US1NYDT0012,,,,,0
20200104,US1NYDT0024,,,,,0
20200104,US1NYER0059,,,,,8
20200104,US1NYER0086,,,,,30
20200104,US1NYER0098,,,,,79
20200104,US1NYER0138,,,,,15
20200104,US1NYER0164,,,,,46
20200104,US1NYER0177,,,,,20
20200104,US1NYES0006,,,,,18
20200104,US1NYFK0007,,,,,0
20200104,US1NYMR0015,,,,,89
20200104,US1NYNS0034,,,,,0
20200104,US1NYOG0071,,,,,0
20200104,US1NYOR0002,,,,,0
20200104,US1NYRN0020,,,,,0
20200104,US1NYRN0024,,,,,0
20200104,US1NYSC0027,,,,,0
20200104,US1NYSF0016,,,,,0
20200104,US1NYSF0065,,,,,0
20200104,US1NYSF0103,,,,,0
20200104,US1NYSF0114,,,,,0
20200104,US1NYSF0127,,,,,0
20200104,US1NYSL0006,,,,,0
20200104,US1NYSR0016,,,,,0
20200104,US1NYST0030,,,,,0
20200104,US1NYSY0014,,,,,0
20200104,US1NYTM0003,,,,,0
20200104,US1NYTM0015,,,,,0
20200104,US1NYUL0029,,,,,0
20200104,US1NYWC0018,,,,,0
20200104,US1NYWN0018,,,,,0
20200104,US1NYWN0026,,,,,0
20200104,USC00300023,,,61,17,
20200104,USC00300055,,,94,-33,
20200104,USC00300063,,,67,6,
20200104,USC00300085,,,72,11,
20200104,USC00300093,,,67,28,
20200104,USC00300183,,,78,11,
20200104,USC00300321,,,89,22,
20200104,USC00300331,,,83,33,
20200104,USC00300343,,,78,17,
20200104,USC00300364,18,,78,56,
20200104,USC00300443,58,,61,-11,
20200104,USC00300785,,,44,-6,
20200104,USC00300870,,,89,28,
20200104,USC00300889,,,78,61,
20200104,USC00300937,,,83,0,
20200104,USC00301068,,,83,6,
20200104,USC00301102,,,44,0,
20200104,USC00301110,,,67,22,
20200104,USC00301152,,,89,11,
20200104,USC00301211,,,61,22,
20200104,USC00301309,,,78,56,
